asset_path,display_label,source,category
audio/classic/units/battlecruiser/death/TBaDth00__e821c44b12.wav,Death voice 01,SC1/BW,DEATH VO
audio/classic/units/battlecruiser/move/tbardy00__19e75fcf8a.wav,Battle Cruiser operational,SC1/BW • VERIFIED DIALOGUE,MOVE / ACTIVATE VO
audio/classic/units/battlecruiser/move/tbawht00__4f0bea6466.wav,All crews reporting.,SC1/BW • VERIFIED DIALOGUE,MOVE / ACTIVATE VO
audio/classic/units/battlecruiser/move/tbawht01__055724e5d9.wav,Receiving transmission.,SC1/BW • VERIFIED DIALOGUE,MOVE / ACTIVATE VO
audio/classic/units/battlecruiser/move/tbawht02__fc4da6e9ef.wav,"Good day, Commander.",SC1/BW • VERIFIED DIALOGUE,MOVE / ACTIVATE VO
audio/classic/units/battlecruiser/move/tbawht03__04659d6154.wav,Healing frequency is open.,SC1/BW • VERIFIED DIALOGUE,MOVE / ACTIVATE VO
audio/classic/units/battlecruiser/move/tbayes00__db7111430a.wav,Make it happen.,SC1/BW • VERIFIED DIALOGUE,MOVE / ACTIVATE VO
audio/classic/units/battlecruiser/move/tbayes01__5db16f3048.wav,Set a course.,SC1/BW • VERIFIED DIALOGUE,MOVE / ACTIVATE VO
audio/classic/units/battlecruiser/move/tbayes02__e5bcb0a499.wav,Take it slow.,SC1/BW • VERIFIED DIALOGUE,MOVE / ACTIVATE VO
audio/classic/units/battlecruiser/move/tbayes03__c0090362cb.wav,in the cage.,SC1/BW • VERIFIED DIALOGUE,MOVE / ACTIVATE VO
audio/classic/units/broodling/chatter/ZBrPss00__4fecf538a7.wav,Annoyed / repeated selection 01,SC1/BW,PORTRAIT / VOICE
audio/classic/units/broodling/chatter/ZBrPss01__25c9eb30a2.wav,Annoyed / repeated selection 02,SC1/BW,PORTRAIT / VOICE
audio/classic/units/broodling/chatter/ZBrPss02__e6193c6c90.wav,Annoyed / repeated selection 03,SC1/BW,PORTRAIT / VOICE
audio/classic/units/broodling/chatter/ZBrPss03__2de100fa5f.wav,Annoyed / repeated selection 04,SC1/BW,PORTRAIT / VOICE
audio/classic/units/broodling/death/ZBrDth00__49ae422304.wav,Death voice 01,SC1/BW,DEATH VO
audio/classic/units/broodling/move/ZBrRdy00__fe3a98da2c.wav,Ready / selection 01,SC1/BW,MOVE / ACTIVATE VO
audio/classic/units/broodling/move/ZBrWht00__36d776f212.wav,Selection response 01,SC1/BW,MOVE / ACTIVATE VO
audio/classic/units/broodling/move/ZBrWht01__4ca4409651.wav,Selection response 02,SC1/BW,MOVE / ACTIVATE VO
audio/classic/units/broodling/move/ZBrWht02__380516d89e.wav,Selection response 03,SC1/BW,MOVE / ACTIVATE VO
audio/classic/units/broodling/move/ZBrWht03__63cc54ad16.wav,Selection response 04,SC1/BW,MOVE / ACTIVATE VO
audio/classic/units/broodling/move/ZBrYes00__0fb3f1e6be.wav,Move / order response 01,SC1/BW,MOVE / ACTIVATE VO
audio/classic/units/broodling/move/ZBrYes01__919b535db3.wav,Move / order response 02,SC1/BW,MOVE / ACTIVATE VO
audio/classic/units/broodling/move/ZBrYes02__84fded4a1c.wav,Move / order response 03,SC1/BW,MOVE / ACTIVATE VO
audio/classic/units/broodling/move/ZBrYes03__47ee79e6a9.wav,Move / order response 04,SC1/BW,MOVE / ACTIVATE VO
audio/classic/units/carrier/attack/alias_carrier_PCaYes00__02d852703e.wav,Attack voice 01,SC1/BW,ATTACK VO
audio/classic/units/carrier/attack/alias_carrier_PCaYes03__f265c363a4.wav,Affirmative!,SC1/BW • VERIFIED DIALOGUE,ATTACK VO
audio/classic/units/carrier/chatter/PCaPss00__03350c42e7.wav,Our enemies are legion!,SC1/BW • VERIFIED DIALOGUE,PORTRAIT / VOICE
audio/classic/units/carrier/chatter/PCaPss01__6bb7096318.wav,And still you procrastinate!,SC1/BW • VERIFIED DIALOGUE,PORTRAIT / VOICE
audio/classic/units/carrier/chatter/PCaPss02__9d9319bccc.wav,Command or you will be relieved!,SC1/BW • VERIFIED DIALOGUE,PORTRAIT / VOICE
audio/classic/units/carrier/chatter/PCaPss03__76db57eb7d.wav,This is not an idle threat!,SC1/BW • VERIFIED DIALOGUE,PORTRAIT / VOICE
audio/classic/units/carrier/death/PCaDth00__5d94859008.wav,Death voice 01,SC1/BW • DESCRIPTIVE NONVERBAL,DEATH VO
audio/classic/units/carrier/death/pcaDth01__d7ae355332.wav,Death voice 02,SC1/BW • DESCRIPTIVE NONVERBAL,DEATH VO
audio/classic/units/carrier/move/PCaWht00__ba072e0e18.wav,Instructions.,SC1/BW • VERIFIED DIALOGUE,MOVE / ACTIVATE VO
audio/classic/units/carrier/move/PCaWht01__c04bd32a6c.wav,Your command.,SC1/BW • VERIFIED DIALOGUE,MOVE / ACTIVATE VO
audio/classic/units/carrier/move/PCaWht02__aa623b6d57.wav,Selection response 03,SC1/BW,MOVE / ACTIVATE VO
audio/classic/units/carrier/move/PCaWht03__eaf99fc34b.wav,Selection response 04,SC1/BW,MOVE / ACTIVATE VO
audio/classic/units/carrier/move/PCaYes00__02d852703e.wav,Move / order response 01,SC1/BW,MOVE / ACTIVATE VO
audio/classic/units/carrier/move/PCaYes01__a75980d3a4.wav,Move / order response 02,SC1/BW,MOVE / ACTIVATE VO
audio/classic/units/carrier/move/PCaYes02__308b5c3e82.wav,Move / order response 03,SC1/BW,MOVE / ACTIVATE VO
audio/classic/units/carrier/move/PCaYes03__f265c363a4.wav,Affirmative!,SC1/BW • VERIFIED DIALOGUE,MOVE / ACTIVATE VO
audio/classic/units/carrier/move/pcaRdy00__74d72d3475.wav,Carrier has arrived!,SC1/BW • VERIFIED DIALOGUE,MOVE / ACTIVATE VO
audio/classic/units/civilian/chatter/TCVPss04__f087dee755.wav,Annoyed / repeated selection 05,SC1/BW,PORTRAIT / VOICE
audio/classic/units/civilian/chatter/TCvPss00__8668df6b14.wav,Annoyed / repeated selection 01,SC1/BW,PORTRAIT / VOICE
audio/classic/units/civilian/chatter/TCvPss01__61482ff360.wav,Annoyed / repeated selection 02,SC1/BW,PORTRAIT / VOICE
audio/classic/units/civilian/chatter/TCvPss02__e01445d10c.wav,Annoyed / repeated selection 03,SC1/BW,PORTRAIT / VOICE
audio/classic/units/civilian/chatter/TCvPss03__aa920b95a8.wav,Annoyed / repeated selection 04,SC1/BW,PORTRAIT / VOICE
audio/classic/units/civilian/death/TCvDth00__0df76751da.wav,Death voice 01,SC1/BW,DEATH VO
audio/classic/units/civilian/move/TCVRdy00__52ecc2d26f.wav,Ready / selection 01,SC1/BW,MOVE / ACTIVATE VO
audio/classic/units/civilian/move/TCVYes04__70a283497e.wav,Move / order response 05,SC1/BW,MOVE / ACTIVATE VO
audio/classic/units/civilian/move/TCvWht00__90aedf3768.wav,Selection response 01,SC1/BW,MOVE / ACTIVATE VO
audio/classic/units/civilian/move/TCvWht01__4e10cb74b0.wav,Selection response 02,SC1/BW,MOVE / ACTIVATE VO
audio/classic/units/civilian/move/TCvWht02__d16795eae4.wav,Selection response 03,SC1/BW,MOVE / ACTIVATE VO
audio/classic/units/civilian/move/TCvWht03__9a89a5efd2.wav,Selection response 04,SC1/BW,MOVE / ACTIVATE VO
audio/classic/units/civilian/move/TCvYes00__4f35126a2d.wav,Move / order response 01,SC1/BW,MOVE / ACTIVATE VO
audio/classic/units/civilian/move/TCvYes01__5a742d375d.wav,Move / order response 02,SC1/BW,MOVE / ACTIVATE VO
audio/classic/units/civilian/move/TCvYes02__07bcddda6a.wav,Move / order response 03,SC1/BW,MOVE / ACTIVATE VO
audio/classic/units/civilian/move/TCvYes03__8644a6cd29.wav,Move / order response 04,SC1/BW,MOVE / ACTIVATE VO
audio/classic/units/dark_templar/attack/alias_dark_templar_PDTYes00__337588aac7.wav,Attack voice 01,SC1/BW,ATTACK VO
audio/classic/units/dark_templar/attack/alias_dark_templar_PDTYes01__c77ed3b1d2.wav,Attack voice 02,SC1/BW,ATTACK VO
audio/classic/units/dark_templar/attack/alias_dark_templar_PDTYes02__49218af61c.wav,So be it.,SC1/BW • VERIFIED DIALOGUE,ATTACK VO
audio/classic/units/dark_templar/attack/alias_dark_templar_PDTYes03__61fb114366.wav,Very well.,SC1/BW • VERIFIED DIALOGUE,ATTACK VO
audio/classic/units/dark_templar/chatter/PDTPss00__1a7a802d15.wav,Your tonser ill-advised Templar!,SC1/BW • VERIFIED DIALOGUE,PORTRAIT / VOICE
audio/classic/units/dark_templar/chatter/PDTPss01__65dcc6bcb8.wav,Do not provoke me to violence.,SC1/BW • VERIFIED DIALOGUE,PORTRAIT / VOICE
audio/classic/units/dark_templar/chatter/PDTPss02__c6dc438540.wav,You can no more evade my wrath!,SC1/BW • VERIFIED DIALOGUE,PORTRAIT / VOICE
audio/classic/units/dark_templar/chatter/PDTPss03__e410532953.wav,Then you quit your own shadow.,SC1/BW • VERIFIED DIALOGUE,PORTRAIT / VOICE
audio/classic/units/dark_templar/death/PDTDth00__7a5545dba5.wav,Death voice 01,SC1/BW,DEATH VO
audio/classic/units/dark_templar/move/PDTWht00__57308f1d91.wav,Yes.,SC1/BW • VERIFIED DIALOGUE,MOVE / ACTIVATE VO
audio/classic/units/dark_templar/move/PDTWht01__6c67ec8f59.wav,Selection response 02,SC1/BW,MOVE / ACTIVATE VO
audio/classic/units/dark_templar/move/PDTWht02__746ada3a85.wav,I'm waiting.,SC1/BW • VERIFIED DIALOGUE,MOVE / ACTIVATE VO
audio/classic/units/dark_templar/move/PDTWht03__3672df3745.wav,Selection response 04,SC1/BW,MOVE / ACTIVATE VO
audio/classic/units/dark_templar/move/PDTYes00__337588aac7.wav,Move / order response 01,SC1/BW,MOVE / ACTIVATE VO
audio/classic/units/dark_templar/move/PDTYes01__c77ed3b1d2.wav,Move / order response 02,SC1/BW,MOVE / ACTIVATE VO
audio/classic/units/dark_templar/move/PDTYes02__49218af61c.wav,So be it.,SC1/BW • VERIFIED DIALOGUE,MOVE / ACTIVATE VO
audio/classic/units/dark_templar/move/PDTYes03__61fb114366.wav,Very well.,SC1/BW • VERIFIED DIALOGUE,MOVE / ACTIVATE VO
audio/classic/units/defiler/chatter/ZDePss03__51e101b960.wav,Defiler selection vocalization,SC1/BW • DESCRIPTIVE NONVERBAL,PORTRAIT / VOICE
audio/classic/units/defiler/chatter/zdePss00__d064a7c1d0.wav,Defiler selection vocalization,SC1/BW • DESCRIPTIVE NONVERBAL,PORTRAIT / VOICE
audio/classic/units/defiler/chatter/zdePss01__fb1d1d6ca7.wav,Defiler selection vocalization,SC1/BW • DESCRIPTIVE NONVERBAL,PORTRAIT / VOICE
audio/classic/units/defiler/chatter/zdePss02__031375a9ee.wav,Defiler selection vocalization,SC1/BW • DESCRIPTIVE NONVERBAL,PORTRAIT / VOICE
audio/classic/units/defiler/death/ZDeDth00__15573a4880.wav,Defiler death sound,SC1/BW • DESCRIPTIVE NONVERBAL,DEATH VO
audio/classic/units/defiler/move/ZDeWht03__af47a4e90e.wav,Defiler movement vocalization,SC1/BW • DESCRIPTIVE NONVERBAL,MOVE / ACTIVATE VO
audio/classic/units/defiler/move/ZDeYes03__d6710f8a01.wav,Defiler movement vocalization,SC1/BW • DESCRIPTIVE NONVERBAL,MOVE / ACTIVATE VO
audio/classic/units/defiler/move/zdeRdy00__57f77f1148.wav,Defiler movement vocalization,SC1/BW • DESCRIPTIVE NONVERBAL,MOVE / ACTIVATE VO
audio/classic/units/defiler/move/zdeWht00__d477f1b62a.wav,Defiler movement vocalization,SC1/BW • DESCRIPTIVE NONVERBAL,MOVE / ACTIVATE VO
audio/classic/units/defiler/move/zdeWht01__8bcd6a3fcf.wav,Defiler movement vocalization,SC1/BW • DESCRIPTIVE NONVERBAL,MOVE / ACTIVATE VO
audio/classic/units/defiler/move/zdeWht02__89b89e5087.wav,Defiler movement vocalization,SC1/BW • DESCRIPTIVE NONVERBAL,MOVE / ACTIVATE VO
audio/classic/units/defiler/move/zdeYes00__5429e44e3d.wav,Defiler movement vocalization,SC1/BW • DESCRIPTIVE NONVERBAL,MOVE / ACTIVATE VO
audio/classic/units/defiler/move/zdeYes01__b208bf0dc4.wav,Defiler movement vocalization,SC1/BW • DESCRIPTIVE NONVERBAL,MOVE / ACTIVATE VO
audio/classic/units/defiler/move/zdeYes02__4cb9276310.wav,Defiler movement vocalization,SC1/BW • DESCRIPTIVE NONVERBAL,MOVE / ACTIVATE VO
audio/classic/units/dragoon/chatter/PDrPss00__1d47f3219f.wav,Unauthorized transmission.,SC1/BW • VERIFIED DIALOGUE,PORTRAIT / VOICE
audio/classic/units/dragoon/chatter/PDrPss01__f6d00ba046.wav,Incorrect protocol.,SC1/BW • VERIFIED DIALOGUE,PORTRAIT / VOICE
audio/classic/units/dragoon/chatter/PDrPss02__b7ed3b90d6.wav,"Drop your weapon, you have 15 seconds to comply.",SC1/BW • VERIFIED DIALOGUE,PORTRAIT / VOICE
audio/classic/units/dragoon/chatter/PDrPss03__fa6a8d924a.wav,Annoyed / repeated selection 04,SC1/BW,PORTRAIT / VOICE
audio/classic/units/dragoon/death/pdrDth00__a3ae599e61.wav,Death voice 01,SC1/BW,DEATH VO
audio/classic/units/dragoon/move/PDrWht00__b755ef97f9.wav,Selection response 01,SC1/BW,MOVE / ACTIVATE VO
audio/classic/units/dragoon/move/PDrWht01__1f21129326.wav,Awaiting instructions.,SC1/BW • VERIFIED DIALOGUE,MOVE / ACTIVATE VO
audio/classic/units/dragoon/move/PDrWht02__70b44c2406.wav,Selection response 03,SC1/BW,MOVE / ACTIVATE VO
audio/classic/units/dragoon/move/PDrWht03__59a766cf77.wav,Selection response 04,SC1/BW,MOVE / ACTIVATE VO
audio/classic/units/dragoon/move/PDrWht04__3c4611436f.wav,Selection response 05,SC1/BW,MOVE / ACTIVATE VO
audio/classic/units/dragoon/move/PDrWht05__b4fe7d4e61.wav,Selection response 06,SC1/BW,MOVE / ACTIVATE VO
audio/classic/units/dragoon/move/PDrWht06__da3b0af41d.wav,Make use of me.,SC1/BW • VERIFIED DIALOGUE,MOVE / ACTIVATE VO
audio/classic/units/dragoon/move/PDrWht07__ac02d9f61b.wav,I AM NEEDED,SC1/BW • VERIFIED DIALOGUE,MOVE / ACTIVATE VO
audio/classic/units/dragoon/move/PDrYes00__94b5f6ac91.wav,Confirmed.,SC1/BW • VERIFIED DIALOGUE,MOVE / ACTIVATE VO
audio/classic/units/dragoon/move/PDrYes01__c8a0935d59.wav,Move / order response 02,SC1/BW,MOVE / ACTIVATE VO
audio/classic/units/dragoon/move/PDrYes02__6af6ced60a.wav,Move / order response 03,SC1/BW,MOVE / ACTIVATE VO
audio/classic/units/dragoon/move/PDrYes03__b04819a6be.wav,Move / order response 04,SC1/BW,MOVE / ACTIVATE VO
audio/classic/units/dragoon/move/PDrYes04__fdad8f8db6.wav,Commencing.,SC1/BW • VERIFIED DIALOGUE,MOVE / ACTIVATE VO
audio/classic/units/dragoon/move/PDrYes05__8870a56b53.wav,Move / order response 06,SC1/BW,MOVE / ACTIVATE VO
audio/classic/units/dragoon/move/PDrYes06__7596758449.wav,For vengeance.,SC1/BW • VERIFIED DIALOGUE,MOVE / ACTIVATE VO
audio/classic/units/dragoon/move/pdrRdy00__354740bebf.wav,I have returned.,SC1/BW • VERIFIED DIALOGUE,MOVE / ACTIVATE VO
audio/classic/units/drone/chatter/zdrPss00__f0a299d4f6.wav,Drone selection vocalization,SC1/BW • DESCRIPTIVE NONVERBAL,PORTRAIT / VOICE
audio/classic/units/drone/chatter/zdrPss01__d4cde0bb13.wav,Drone selection vocalization,SC1/BW • DESCRIPTIVE NONVERBAL,PORTRAIT / VOICE
audio/classic/units/drone/chatter/zdrPss02__973c8336f6.wav,Drone selection vocalization,SC1/BW • DESCRIPTIVE NONVERBAL,PORTRAIT / VOICE
audio/classic/units/drone/death/zdrDth00__d66d95ad02.wav,Drone death sound,SC1/BW • DESCRIPTIVE NONVERBAL,DEATH VO
audio/classic/units/drone/move/zdrRdy00__641e9f0860.wav,Drone movement vocalization,SC1/BW • DESCRIPTIVE NONVERBAL,MOVE / ACTIVATE VO
audio/classic/units/drone/move/zdrWht00__a2a6d92227.wav,Drone movement vocalization,SC1/BW • DESCRIPTIVE NONVERBAL,MOVE / ACTIVATE VO
audio/classic/units/drone/move/zdrWht01__edee507d7e.wav,Drone movement vocalization,SC1/BW • DESCRIPTIVE NONVERBAL,MOVE / ACTIVATE VO
audio/classic/units/drone/move/zdrWht02__63327cbd51.wav,Drone movement vocalization,SC1/BW • DESCRIPTIVE NONVERBAL,MOVE / ACTIVATE VO
audio/classic/units/drone/move/zdrWht03__f17a498564.wav,Drone movement vocalization,SC1/BW • DESCRIPTIVE NONVERBAL,MOVE / ACTIVATE VO
audio/classic/units/drone/move/zdrWht04__a3cae20d28.wav,Drone movement vocalization,SC1/BW • DESCRIPTIVE NONVERBAL,MOVE / ACTIVATE VO
audio/classic/units/drone/move/zdrYes00__ad8e4af4b1.wav,Drone movement vocalization,SC1/BW • DESCRIPTIVE NONVERBAL,MOVE / ACTIVATE VO
audio/classic/units/drone/move/zdrYes01__02b34ee206.wav,Drone movement vocalization,SC1/BW • DESCRIPTIVE NONVERBAL,MOVE / ACTIVATE VO
audio/classic/units/drone/move/zdrYes02__83d0806bae.wav,Drone movement vocalization,SC1/BW • DESCRIPTIVE NONVERBAL,MOVE / ACTIVATE VO
audio/classic/units/drone/move/zdrYes03__e267155e7f.wav,Drone movement vocalization,SC1/BW • DESCRIPTIVE NONVERBAL,MOVE / ACTIVATE VO
audio/classic/units/drone/move/zdrYes04__6f24c4f898.wav,Drone movement vocalization,SC1/BW • DESCRIPTIVE NONVERBAL,MOVE / ACTIVATE VO
audio/classic/units/dropship/chatter/TDrPss00__444f4d9bef.wav,Annoyed / repeated selection 01,SC1/BW,PORTRAIT / VOICE
audio/classic/units/dropship/chatter/TDrPss01__24df3403ef.wav,Annoyed / repeated selection 02,SC1/BW,PORTRAIT / VOICE
audio/classic/units/dropship/chatter/TDrPss02__74cbfbbc01.wav,Annoyed / repeated selection 03,SC1/BW,PORTRAIT / VOICE
audio/classic/units/dropship/chatter/TDrPss03__b99cd7e939.wav,Annoyed / repeated selection 04,SC1/BW,PORTRAIT / VOICE
audio/classic/units/dropship/death/TDrDth00__d0ae2ee092.wav,Death voice 01,SC1/BW,DEATH VO
audio/classic/units/dropship/move/TDrRdy00__27060c2201.wav,Ready / selection 01,SC1/BW,MOVE / ACTIVATE VO
audio/classic/units/dropship/move/TDrWht00__76c75803d9.wav,Selection response 01,SC1/BW,MOVE / ACTIVATE VO
audio/classic/units/dropship/move/TDrWht01__daa531436d.wav,Selection response 02,SC1/BW,MOVE / ACTIVATE VO
audio/classic/units/dropship/move/TDrWht02__ce11e7eef0.wav,Selection response 03,SC1/BW,MOVE / ACTIVATE VO
audio/classic/units/dropship/move/TDrWht03__1005da471e.wav,Selection response 04,SC1/BW,MOVE / ACTIVATE VO
audio/classic/units/dropship/move/TDrYes00__676aa9b472.wav,Move / order response 01,SC1/BW,MOVE / ACTIVATE VO
audio/classic/units/dropship/move/TDrYes01__449e301cc3.wav,Move / order response 02,SC1/BW,MOVE / ACTIVATE VO
audio/classic/units/dropship/move/TDrYes02__9d1d5a3620.wav,Move / order response 03,SC1/BW,MOVE / ACTIVATE VO
audio/classic/units/dropship/move/TDrYes03__1ef72db927.wav,Move / order response 04,SC1/BW,MOVE / ACTIVATE VO
audio/classic/units/dropship/move/TDrYes04__52f49f6473.wav,Move / order response 05,SC1/BW,MOVE / ACTIVATE VO
audio/classic/units/dropship/move/TDrYes05__8ce10906bf.wav,Move / order response 06,SC1/BW,MOVE / ACTIVATE VO
audio/classic/units/edmund_duke_battlecruiser/chatter/UDupss00__17ec217594.wav,Annoyed / repeated selection 01,SC1/BW,PORTRAIT / VOICE
audio/classic/units/edmund_duke_battlecruiser/chatter/UDupss01__5ef73a9ca3.wav,Annoyed / repeated selection 02,SC1/BW,PORTRAIT / VOICE
audio/classic/units/edmund_duke_battlecruiser/chatter/UDupss02__d63c8d925b.wav,Annoyed / repeated selection 03,SC1/BW,PORTRAIT / VOICE
audio/classic/units/edmund_duke_battlecruiser/chatter/UDupss03__4447319329.wav,Annoyed / repeated selection 04,SC1/BW,PORTRAIT / VOICE
audio/classic/units/edmund_duke_battlecruiser/chatter/UDupss04__8810101ee0.wav,Annoyed / repeated selection 05,SC1/BW,PORTRAIT / VOICE
audio/classic/units/edmund_duke_battlecruiser/death/UDuDth00__e821c44b12.wav,Death voice 01,SC1/BW,DEATH VO
audio/classic/units/edmund_duke_battlecruiser/move/UDuwht00__ad497f9e0f.wav,Selection response 01,SC1/BW,MOVE / ACTIVATE VO
audio/classic/units/edmund_duke_battlecruiser/move/UDuwht01__cc6216cfcb.wav,Selection response 02,SC1/BW,MOVE / ACTIVATE VO
audio/classic/units/edmund_duke_battlecruiser/move/UDuwht02__2ba9e31be2.wav,Selection response 03,SC1/BW,MOVE / ACTIVATE VO
audio/classic/units/edmund_duke_battlecruiser/move/UDuwht03__54b785174c.wav,Selection response 04,SC1/BW,MOVE / ACTIVATE VO
audio/classic/units/edmund_duke_battlecruiser/move/UDuyes00__1169cd31e6.wav,Move / order response 01,SC1/BW,MOVE / ACTIVATE VO
audio/classic/units/edmund_duke_battlecruiser/move/UDuyes01__1353c8b227.wav,Move / order response 02,SC1/BW,MOVE / ACTIVATE VO
audio/classic/units/edmund_duke_battlecruiser/move/UDuyes02__51e02c8edc.wav,Move / order response 03,SC1/BW,MOVE / ACTIVATE VO
audio/classic/units/edmund_duke_battlecruiser/move/UDuyes03__810c48b68c.wav,Move / order response 04,SC1/BW,MOVE / ACTIVATE VO
audio/classic/units/edmund_duke_siege_tank/chatter/UDTPss04__1e75e1d542.wav,Annoyed / repeated selection 05,SC1/BW,PORTRAIT / VOICE
audio/classic/units/edmund_duke_siege_tank/chatter/UDTpss00__0a9f2b90bd.wav,Annoyed / repeated selection 01,SC1/BW,PORTRAIT / VOICE
audio/classic/units/edmund_duke_siege_tank/chatter/UDTpss01__d5ba85cef9.wav,Annoyed / repeated selection 02,SC1/BW,PORTRAIT / VOICE
audio/classic/units/edmund_duke_siege_tank/chatter/UDTpss02__dec90e230f.wav,Annoyed / repeated selection 03,SC1/BW,PORTRAIT / VOICE
